,Target,Comparison,p-value of difference
Number of articles analyzed,3407,65171,
,Treatment Average,Control Average,p-value
Article Lengths,857.25,737.13,1.20E-13
Category Counts,16.95,15.53,3.60E-19
Lang Counts,5.34,4.11,4.75E-21
