,Target,Comparison,p-value of difference
Number of articles analyzed,53,53,
Article Lengths,652.66,870.89,0.083
# of Languages,3.89,5.81,0.105
# of Categories,9.13,10.92,0.036
Edit History,118.21,171.96,0.205
Article Age,97.02,125.69,0.017
